ID,Age,Income,Education,Marital_Status,Total_Spending,Total_Children,Total_Purchases,Total_Campaigns_Accepted,Cluster_KMeans,Cluster_Hierarchical,Cluster_DBSCAN
5524,67,58138.0,Graduation,Single,1617,0,22,1,1,0,0
2174,70,46344.0,Graduation,Single,27,2,4,0,0,1,0
4141,59,71613.0,Graduation,Together,776,0,20,0,1,0,0
6182,40,26646.0,Graduation,Together,53,1,6,0,0,1,0
5324,43,58293.0,PhD,Married,422,1,14,0,0,1,0
7446,57,62513.0,Master,Together,716,1,20,0,1,0,0
965,53,55635.0,Graduation,Divorced,590,1,17,0,0,0,0
6177,39,33454.0,PhD,Married,169,1,8,0,0,1,0
4855,50,30351.0,PhD,Together,46,1,5,1,0,1,0
5899,74,5648.0,PhD,Together,49,2,1,1,0,1,-1
1994,41,51381.5,Graduation,Married,19,1,3,0,0,1,0
387,48,7500.0,Basic,Married,61,0,5,0,0,1,0
2125,65,63033.0,Graduation,Divorced,1102,0,15,0,1,0,0
8180,72,59354.0,Master,Divorced,310,2,12,0,0,1,0
2569,37,17323.0,Graduation,Married,46,0,4,0,0,1,0
2114,78,82800.0,PhD,Single,1315,0,25,3,1,0,0
9736,44,41850.0,Graduation,Married,96,2,6,0,0,1,0
4939,78,37760.0,Graduation,Together,317,0,11,0,0,1,0
6565,75,76995.0,Master,Married,1782,1,24,1,1,0,0
2278,39,33812.0,2n Cycle,Single,133,1,6,0,0,1,0
9360,42,37040.0,Graduation,Married,316,0,11,0,0,1,0
5376,45,2447.0,Graduation,Married,1730,1,28,0,1,0,0
1993,75,58607.0,PhD,Married,972,1,14,1,1,0,0
4047,70,65324.0,PhD,Married,544,1,17,0,1,0,0
1409,73,40689.0,Graduation,Together,444,1,13,0,0,1,0
7892,55,18589.0,Graduation,Single,75,0,6,0,0,1,0
2404,48,53359.0,Graduation,Married,257,2,10,0,0,1,0
5255,38,51381.5,Graduation,Single,637,1,27,0,1,0,0
9422,35,38360.0,Graduation,Married,131,1,7,0,0,1,0
1966,59,84618.0,PhD,Married,1672,0,25,1,1,0,0
6864,35,10979.0,Master,Divorced,30,0,6,0,0,1,0
3033,61,38620.0,Master,Together,318,0,10,0,0,0,0
5710,54,40548.0,Graduation,Together,120,1,7,1,0,1,0
7373,72,46610.0,PhD,Divorced,302,2,11,1,0,1,0
8755,78,68657.0,Master,Married,1196,0,17,0,1,0,0
10738,73,49389.0,Master,Single,65,2,5,0,0,1,0
4339,54,67353.0,PhD,Married,913,1,23,0,1,0,0
10755,48,23718.0,2n Cycle,Married,81,1,6,0,0,1,0
8595,51,42429.0,Graduation,Widow,67,1,5,0,0,1,0
2968,81,48948.0,PhD,Divorced,902,0,22,2,1,0,0
8601,44,80011.0,Graduation,Married,1395,1,19,0,1,0,0
503,39,20559.0,Master,Married,53,1,5,0,0,1,0
8430,67,21994.0,Graduation,Together,22,1,3,0,0,1,0
7281,65,51381.5,PhD,Single,186,0,8,0,0,1,0
2139,49,7500.0,Master,Married,31,1,5,0,0,1,0
1371,48,79941.0,Graduation,Single,984,0,15,0,1,0,0
9909,28,7500.0,2n Cycle,Married,122,0,7,1,0,1,0
7286,56,41728.0,Graduation,Together,55,1,4,0,0,1,0
7244,73,51381.5,Graduation,Single,124,3,7,0,0,1,0
6566,70,72550.0,PhD,Married,1319,2,19,0,1,1,0
8614,67,65486.0,Graduation,Widow,507,1,16,0,1,0,0
4114,60,79143.0,Master,Married,1693,0,28,0,1,0,0
1331,47,35790.0,Graduation,Single,72,1,5,0,0,1,0
2225,47,82582.0,Graduation,Divorced,1617,0,20,3,1,0,0
9381,46,66373.0,Graduation,Married,606,2,16,0,1,1,0
6260,69,82384.0,Master,Together,1957,0,26,2,1,0,0
10383,58,70287.0,Graduation,Divorced,1093,0,20,1,1,0,0
7437,36,27938.0,Graduation,Single,29,1,5,0,0,1,0
